no,id,message+desc,comments,count_food,count_events,count_nature,count_accommodation,count_attraction,count_others,class_label
8813,340785907491_10150266664092492,OH MY GOSH! 슈퍼주니어(Super Junior) was just at the KTO (Korea Tourism Organization)!!! ^^ We'll be posting pictures soon so make sure to check the page!!! ,"awesome!!! can't wait to see the pictures!! >ㅇ<$$Can't wait to see the pics!!$$For reaaaalllll???? Oooohhhh show me d pictures pleaseeeeee!!!!! ^^$$Who said being a diplomat wasn't fun?!!$$Just know this info about 4 hours ago...and now, i know that it's a right news... Chukkae$$OHHH NOOOOO!!!!..ask them to go there again in Sept plez.LOL$$that's so awesome that they came to visit you guys. after all, you both are good ambassadors for enjoying korea :-)$$wow...greattttt!!!.. Super Junior is the besttttt...  <3  <3   <3$$My super junior is the best saranghae :D$$Super Junior is the best!!!!$$진짜요 ....i want to see the picture..please@.@",0.0,1.0,0.0,1.0,0.0,0.0,0.0
8814,225524117535380_690407537713700,"[New Feature!!] 10 Reasons to visit Bandung, the Paris of Indonesia.

Bandung is known for its amazing shopping but it's also a stunning city full of natural wonder. Here are 10 reasons why you should make the $150 trip to Bandung.

http://www.thesmartlocal.com/read/visit-bandungBandung is called the Paris of Indonesia but apart from shopping, it's also a stunning city full of natural wonder. Here are the 10 best things to do here.",Alah....takpe u will be there very soon Nurul Jannah,0.0,0.0,2.0,0.0,2.0,0.0,0.0
8815,240054519398747_725299114207616,"Nueva Vizcaya isn't on the tourist trail, but this hidden gem called Imugan Falls promises to attract more visitors.  Know more about this province by clicking on http://itsmorefuninthephilippines.com/nueva-vizcaya/ 

Photo from lawstude.net ",the beauty of nature.$$I hve something remember her.$$Yes....it's a nice place....i am proud of my province...Nueva Vizcaya$$full of harmony and peace$$7 kms ride and 1km trek...once you're there you can enjoy the ice cold water...hahahaha...so cold in there...I've been there many times.,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8816,225524117535380_1109247135829736,"[New] The Centrepoint Has Just Been Revamped And There's Mouthwatering Food Everywhere

When it comes to dining at The Centrepoint, most of us only know of Astons. But this mall has quietly been revamped into a foodie heaven of Cheese Topokki and Honolulu's famous egg tarts! 

Here're some dishes to shortlist for your next dinner date. 

http://thesmartlocal.com/read/centrepoint-foodOrchard Road's newest food haven has opened with many first-in-Singapore eateries like Honolulu Café, Mak's Noodles and Souper Tang. Here's why you should go down.",Pearlyn Leong  Rowena Goh Jerlyn Chia Low Yu Ping  the others I cannot tag don know why.. Anyway I wanna drink light bulb soda!!!! And the bingsu plssssss!!!!!!!$$Phoebe Waichin the one we went with sh$$Peck SLee you can ignore me on this$$Adrian Song omg that melon,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8817,144113158937441_1037263019622446,"Coimbatore - An ancient city, now a commercial textile centre

Coimbatore, an ancient city, was the capital of a small tribal village, Kongunad, before the 2nd century AD until it was brought under Chola control in the 2nd-3rd centuries AD by Karikalan, the first of the early Cholas. 

Among its other great rulers were the Rashtrakutas, Chalukyas, Pandyas, Hoysalas and the Vijayanagara kings. When Kongunad fell to the British along with the rest of the state, its name was changed to Coimbatore. 

Today, Coimbatore (Kovai in Tamil) is a commercial city of considerable importance; it is home to over 60 spinning and weaving mills and textiles is its main industry. It is also well known for motor sports with regular events being held at the Kari Motor Speedway. 

- See more at: http://www.incredibleindia.org/travel/destination/coimbatore/ ","trekking in nepal
www.trekasur.com",0.0,3.0,0.0,1.0,0.0,0.0,0.0
8818,67558139928_10153596103109929,"If you're going to East Papua, do not forget to visit the Baliem Valley, one of the most fascinating places on earth. The Baliem Valley, also spelled Balim Valley and sometimes known as the Grand Valley, of the highlands of Western New Guinea is occupied by the Dani people. The main town in the valley is Wamena. The Valley is about 80 km in length by 20 km in width and lies at an altitude of about 1.600 – 1.700 metres, with a population over 200.000. #traveltips

#WonderfulIndonesia #PesonaIndonesia ","Isn't it West Papua not East. Just saying!$$papua island , on good beach ,",0.0,0.0,0.0,0.0,0.0,1.0,0.0
8819,225524117535380_1269231016498013,"So your girlfriend has agreed to your unofficial proposal of ""ai BTO mai?"" and the next phase of adulthood is upon you. It may be public knowledge that housing in Singapore may not be super cheap, but do you know that a 4-room flat can cost less than $200k if you are strategic with the grants available?

Here are 4 other things all you future homeowners should know about. ","Apple Yinghong HAHA U NEED THIS$$Sheilah Farhanah Adam Ismile Muhammad Haziq Harith Redd 🙊 for my dear brother and sisters... we need neighbours ah, so can give lauk all 😂$$Hkl Kiehl Azura M Yusoff Will keep a look out on the upcoming opening in Feb17 & update u guys.. 😉$$Amanda Wong My father would bro hug this video, and walk hand in hand with it to approach me and slap it in my face.$$Dil Yul this is what im trying to mean.$$Fyan Nishikawa yup yup what I told u and read today$$Eddy Ng 4rm can be as low as 200k!$$Ahmad Kamal. ??? Still don't get it$$Hong Shih Eng this is probably helpful for you.$$Federico Grion this what i told you about$$Joan Toh planning for 3 years later 😆$$Maisarah AbdulMuttalip something to kill your time at the airport",0.0,0.0,0.0,1.0,0.0,0.0,0.0
8820,225524117535380_812870942134025,"Did a Human or a Computer Write This?

A shocking amount of what we’re reading is created not by humans, but by computer algorithms. Can you tell the difference? Take the quiz.

BTW computers will take over the world in 30 years.

http://www.nytimes.com/interactive/2015/03/08/opinion/sunday/algorithm-human-quiz.htmlA shocking amount of what we’re reading is created not by humans, but by computer algorithms. Can you tell the difference? Take the quiz.",Well...the algorithm is still coded by human,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8821,240054519398747_722572464480281,"Me, myself and I-slands! All you single ladies need not worry about traveling alone. Looloo.com gathered the best spots in the PH for your solo adventures. Click on the link and start planning your own getaway!

http://insights.looloo.com/philippines-best-places-for-female-solo-travelers/?utm_source=fb&utm_medium=boost&utm_campaign=fbboostFemale solo travelers around the world are now increasing in number. Here are 5 places in the Philippines ideal for Filipinas traveling by themselves.","Gurl Shulammite Pardilanan read this hahahaha$$And if any of you need a companion, let me know! Lol$$Is there anywhere that is not safe for solo female travellers?$$Blair Whitaker... this is for me!!!$$If it says so on the internet it must be true, same goes for Aegis video huh?$$Yay! Adventuring alone sucks, but sounds good though!$$Not so sure about safety in Phils n any countries for male n female travelers. How can they d tourist agency guarantee as it stated in small letters that safety n misadventure lays solely to d travelers itself... As for us is always been a subject of abusive by charging us much more than to locals n that's reality.... Nice try$$It is not safe to travel alone anywhere.  It is better to travel in packs of more than 3 people especially in the Philippines.",0.0,0.0,0.0,0.0,0.0,1.0,0.0
8822,114979501871035_982208961814747,"From jazz to ballet, from circus acts to opera: with over 1,400 artists performing, there’s something for every art lover during Hong Kong Arts Festival: http://bit.ly/1QdAtwT ","Ilove Hongkong
Many experience of living there
Ive learn a lot
Many beautiful places,parks buildings
I miss Hongkong talaga$$Best city in the world$$Beautiful  we will be there nx week.$$enjoyed the dolphin show.$$Ohh we are there last Oct.2015",0.0,1.0,0.0,0.0,0.0,0.0,0.0
