"Pink beach is one of the famous tourist destinations in Komodo National Park, featured by the beautiful pink sandy beach, amazing underwater life and stunning panorama surrounding area. ",3.0
"Do you know ""Maiko"" and ""Geiko""?
These are the specific names in Kyoto for the profession known as geisha. Maiko is a Geiko in training. Young women serve up to four years on apprenticeship as Maiko. The tradition of covering Maiko's faces with white powder means that they have not yet achieved full status. At some places in Kyoto, you can experience parties or events with Maiko's traditional dance performance, tea ceremony, etc.
 Join the special free English walking tour departing from Tourist Information Center (TIC) of JNTO, if you want to meet Maiko and experience the essence of Kyoto.
It is a limited time offer! For details check;http://www.jnto.go.jp/eng/topics/2012/20120921.pdf
Photo courtesy: Q.Sawami ",2.0
Bali's spectacular bamboo village sets new heights for barefoot luxury #WonderfulIndonesiaNestled among the lush forests of Bali is one of the island's most remarkable villages: http://cnn.it/JrTg9K,3.0
"If this waterfall amuses you, then it lives up to its name. This is Aliw Falls in Bgy. San Salvador, Laguna, shared to us by Apa Azores. Click on the link to find out more about it and if you’ve got your own PH photos to share, send it to us for a chance to get featured! 

http://thelostkids.ph/2015/10/26/aliw-falls-more-than-a-sidetrip/ ",3.0
"Traveler Christian Leblanc traveled Southeast Asia and proclaimed the PH as his favorite country. He shows us why and how in this entertaining video. Click on the link and share it with your friends abroad!

https://www.youtube.com/watch?v=g-7RK9cmXis&feature=youtu.beTHIS IS MY FAVOURITE COUNTRY I HAVE EVER TRAVELED! You simply must put the Philippines on your bucket list. The most beautiful landscapes and the most incred...",3.0
"This weekend's rain brought an end to Seoul's cherry blossom season, but the photos and memories still remain. ^ ^ Click here for photos of the blossoms taken last week in Children's Grand Park!Cherry Blossom Outing #1. Children’s Grand Park",3.0
"Ready for a little dip? This inviting beach is in Buluan Island. Zamboanga SIbugay. Thanks to Elfie Cayabyab for sharing this with us. If you’ve got your own PH photos to share, send them over and we just might feature it here! ",3.0
"Where it it? 
Banaue, Ifugao

What is it like? 
The Banaue Rice Terraces are 2,000 year old terraces that were carved into the mountain by the Ifugao people. 

Fun Fact: 
The terraces were built mostly by hand. 

Photo by/Author: 
George Tapan/Rachel Teotico ",3.0
"Today’s photo is Gokayama, Nanto City, Toyama Prefecture.

Winter and spring, two different season view.
The houses in the Gokayama area are built in the style called “Gassho-zukuri'” same as Shirakawago, and both villages are designated a UNESCO World Cultural Heritage Site in 1995.
Winter has gone shortly and spring will come soon. 
Why don’t you explore this serene rural countryside?! 

Related Information;
http://www.jnto.go.jp/eng/location/regional/toyama/gokayama.html
http://www.tabi-nanto.jp/en/
https://www.jnto.go.jp/eng/location/rtg/pdf/pg-402.pdf
https://www.city.nanto.toyama.jp/webapps/www/english/welcome.html
http://www.jnto.go.jp/eng/indepth/scenic/worldheritage/c_3_shirakawa.html ",5.0
"Things to do at #Hangang this #Summer! ? ? From the all-time favorite #BanpoBridge Rainbow Fountain to beautiful nightscape at #SomeSevit or the outdoor #swimmingpools and water #playgrounds, there are many things you could see and do right here from day to night! Tag your friends whom you wish to #VisitKorea with for any of these! ?

Read full article ? bit.ly/29xfWD9 ",5.0
"Where is it?
El Nido, Palawan

How to Get There:
""Fly from Manila to El Nido.

Or fly from Manila to Puerto Princesa, then take a bus to El Nido.""

What is it?
El Nido, Palawan has one of the most diverse and highly protected ecosystems in the country. It is known for its unique flora and fauna, and towering geological limestone formations.

Fun Fact:
El Nido has 50 white sand beaches for you to choose from, and 813 species of fish for you to meet.

Photo by / Headline by:
Miguel Teotico / Rachel Teotico ",3.0
"Get ready for season 27 of Survivor... in Palaui Island, Cagayan Valley! After Survivor Caramoan, the show will continue to shoot the next season in the Philippines, this time moving up north. Exciting noh? Click on the link to read the good news, and share with your friends!

Photo taken from boyetstour.blogspot.com
http://www.realityblurred.com/realitytv/archives/survivor_27/2013_May_08_cagayan-seasons-27-28 ",2.0
Feel the fresh air and the magical view of Mount Dempo,3.0
"15 BEST Char Kway Teow In Singapore After Eating Only CKT For A Week

We traveled around Singapore to find the best char kway teow stall. Find out which ones made the cut, and which old favourites simply weren't good enough!

thesmartlocal.com/read/best-char-kway-teowWe traveled around Singapore to find the best char kway teow stall. Find out which ones made the cut, and which old favourites simply weren't good enough!",1.0
"Perfetto Cafe is having a ONE FOR ONE deal for their main courses ALL DAY ANYTIME!

From unique burgers such as the Spicy Lamb Burger and Rice Burger to their signature offering the Rack of Lamb, you'll be hard pressed to find a better deal as long as you are a DBS or POSB Cardholder.

Never want to miss a post by us again?
Like TheSmartLocal.com for the latest updates!

Model: Chia De Zhong and Sean Foo ",1.0
Korea Meteorological Administration (KMA) has released the weather forecast for Fall 2012 (September-November): http://bit.ly/PeS349,3.0
"Where is it? 
Boracay, Aklan

What is it?
Ah, Boracay. Need we say more? Since much has been said, raved and written about this famous four-kilometer stretch of powder white sand paradise, we would like to suggest you try the most exhilarating activity off it — cliff-diving at Ariel's Point. The highest plank is about 15 meters high, which is as high as a five-storey building. But jump off and it ends with a safe, pleasantly wet landing. 

How to get there: 
Fly from Manila to Caticlan.

Or fly from Manila to Kalibo, then take a bus to Caticlan.

Or take a boat from Manila to Caticlan.

Fun Fact: 
Not a lot of people know that Tribal Adventure Day Tours are offered on this island. These are no ordinary tours. You spend an entire day getting to know the indigenous people living In the area. The women will welcome you into their homes and even cook for your group while you learn about their history and customs. Ask around for D'Arcy Kelly. He runs the show.

Photo by/Headline by: 
Tourism Department Philippines/Donna Dimayuga ",3.0
"The fastest train in the world is the #Shanghai Maglev. The Maglev runs nearly 19 miles from Shanghai’s Pudong International Airport to the Longyang metro station on the outskirts of Shanghai. The train hits speeds up to (267 mph) or 431 km/hr. #train #chinaWhile a new era of supersonic airplanes remains a concept, bullet trains are a reality around the world—and they're getting faster.",4.0
"10 Forgotten Theme Parks of Singapore's Past You Won't Believe Existed

Here are 10 theme parks in Singapore nobody born after 1990 has visited. 

http://thesmartlocal.com/read/old-theme-parksHere are 10 theme parks in Singapore nobody born after 1990 has visited. Roll back the years and visit them, from Gay World Amusement Park to Mitsukoshi Garden!",5.0
