,id,message+desc,class_label,name
0,340785907491_10150266664092492,OH MY GOSH! 슈퍼주니어(Super Junior) was just at the KTO (Korea Tourism Organization)!!! ^^ We'll be posting pictures soon so make sure to check the page!!!,,
1,225524117535380_690407537713700,"[New Feature!!] 10 Reasons to visit Bandung, the Paris of Indonesia.

Bandung is known for its amazing shopping but it's also a stunning city full of natural wonder. Here are 10 reasons why you should make the $150 trip to Bandung.

http://www.thesmartlocal.com/read/visit-bandungBandung is called the Paris of Indonesia but apart from shopping, it's also a stunning city full of natural wonder. Here are the 10 best things to do here.",,"10 Reasons to visit Bandung, the Paris of Indonesia - Travel, Food & Lifestyle Blog - TheSmartLocal"
2,240054519398747_725299114207616,"Nueva Vizcaya isn't on the tourist trail, but this hidden gem called Imugan Falls promises to attract more visitors.  Know more about this province by clicking on http://itsmorefuninthephilippines.com/nueva-vizcaya/ 

Photo from lawstude.net ",3,Timeline Photos
3,225524117535380_1109247135829736,"[New] The Centrepoint Has Just Been Revamped And There's Mouthwatering Food Everywhere

When it comes to dining at The Centrepoint, most of us only know of Astons. But this mall has quietly been revamped into a foodie heaven of Cheese Topokki and Honolulu's famous egg tarts! 

Here're some dishes to shortlist for your next dinner date. 

http://thesmartlocal.com/read/centrepoint-foodOrchard Road's newest food haven has opened with many first-in-Singapore eateries like Honolulu Café, Mak's Noodles and Souper Tang. Here's why you should go down.",1,The Centrepoint Has Just Been Revamped And There's Mouthwatering Food Everywhere
4,144113158937441_1037263019622446,"Coimbatore - An ancient city, now a commercial textile centre

Coimbatore, an ancient city, was the capital of a small tribal village, Kongunad, before the 2nd century AD until it was brought under Chola control in the 2nd-3rd centuries AD by Karikalan, the first of the early Cholas. 

Among its other great rulers were the Rashtrakutas, Chalukyas, Pandyas, Hoysalas and the Vijayanagara kings. When Kongunad fell to the British along with the rest of the state, its name was changed to Coimbatore. 

Today, Coimbatore (Kovai in Tamil) is a commercial city of considerable importance; it is home to over 60 spinning and weaving mills and textiles is its main industry. It is also well known for motor sports with regular events being held at the Kari Motor Speedway. 

- See more at: http://www.incredibleindia.org/travel/destination/coimbatore/ ",5,Photos from Incredible India's post
5,67558139928_10153596103109929,"If you're going to East Papua, do not forget to visit the Baliem Valley, one of the most fascinating places on earth. The Baliem Valley, also spelled Balim Valley and sometimes known as the Grand Valley, of the highlands of Western New Guinea is occupied by the Dani people. The main town in the valley is Wamena. The Valley is about 80 km in length by 20 km in width and lies at an altitude of about 1.600 – 1.700 metres, with a population over 200.000. #traveltips

#WonderfulIndonesia #PesonaIndonesia ",5,Timeline Photos
6,225524117535380_1269231016498013,"So your girlfriend has agreed to your unofficial proposal of ""ai BTO mai?"" and the next phase of adulthood is upon you. It may be public knowledge that housing in Singapore may not be super cheap, but do you know that a 4-room flat can cost less than $200k if you are strategic with the grants available?

Here are 4 other things all you future homeowners should know about. ",4,5 Things You Never Knew About BTOs
7,225524117535380_812870942134025,"Did a Human or a Computer Write This?

A shocking amount of what we’re reading is created not by humans, but by computer algorithms. Can you tell the difference? Take the quiz.

BTW computers will take over the world in 30 years.

http://www.nytimes.com/interactive/2015/03/08/opinion/sunday/algorithm-human-quiz.htmlA shocking amount of what we’re reading is created not by humans, but by computer algorithms. Can you tell the difference? Take the quiz.",,Did a Human or a Computer Write This?
8,240054519398747_722572464480281,"Me, myself and I-slands! All you single ladies need not worry about traveling alone. Looloo.com gathered the best spots in the PH for your solo adventures. Click on the link and start planning your own getaway!

http://insights.looloo.com/philippines-best-places-for-female-solo-travelers/?utm_source=fb&utm_medium=boost&utm_campaign=fbboostFemale solo travelers around the world are now increasing in number. Here are 5 places in the Philippines ideal for Filipinas traveling by themselves.",4,Who Needs A Man?! These Places In The Philippines Are Perfect For Female Solo Travelers.
9,114979501871035_982208961814747,"From jazz to ballet, from circus acts to opera: with over 1,400 artists performing, there’s something for every art lover during Hong Kong Arts Festival: http://bit.ly/1QdAtwT ",,gph.is
10,211783385560749_893923800680034,"Enjoy the beautiful summer's visual phenomena of framing!
In traditional Japanese buildings such as temples, there are places where you can appreciate picture-perfect natural scenery through a window, making the scene look like a framed work of art. Every season, each scene brings us the different feeling.

Related Information;
http://japan-magazine.jnto.go.jp/en/1409_foliage.html ",3,Photos from Visit Japan International's post
11,240054519398747_1001301473274044,"If you’re both a travel bug and shutter bug, then the PH would be perfect for you! Click on this link to find out why and pack your (camera) bag! 

http://travel.resourcemagonline.com/2016/01/7-reasons-why-you-should-visit-the-philippines-in-2016-and-bring-your-camera/3905/Falling in love with travel and photography came naturally to me. After crisscrossing my island home country of the Philippines and traveling to it’s farthest corners, highest mountains and most remote islands, who wouldn’t be in love? Unbelievably clear waters surround thousands of...",3,8 Reasons Why You Should Visit the Philippines in 2016…And Bring Your Camera - Resource Travel
12,340785907491_10152122103347492,"Many will be traveling home for Seollal. This three-day holiday is celebrated from Jan 30 to Feb 2. Find out more about this important Korean holiday here: http://bit.ly/11oY73h

(Photo: http://flic.kr/ps/2wk7w3) ",,The N Seoul Tower Collection
13,225524117535380_712955728792214,"[New Travel Post/Video!] Two Singaporean Girls Climb The Most Terrifying Trail At Mount Huashan, Xi'An.

Our TSL journalists headed to China to trek up the world's most dangerous trail. Watch our video of Jing and Noelle conquering the scariest plankwalk in the universe.

This post was made possible thanks to Tigerair

http://www.thesmartlocal.com/read/mount-huashanOur TSL journalists trek across the world's most dangerous hiking trail. Watch our video of Jing and Noelle conquering the scariest plank walk in the universe.",3,"Two Singaporean Girls Climb The Most Terrifying Trail In The World At Mount Huashan, Xi'An. -..."
