,id,message+desc,count_food,count_events,count_nature,count_accommodation,count_attraction,count_others,class_label
0,225524117535380_10152045517046172,"[New Post] The 17 Most Delicious Restaurants under $15 in Singapore.

That's right! A list of the 17 best inexpensive restaurants in Singapore. Cheap doesn't mean bad, it just means you're spending money more wisely! Now go forth and conquer this list.

http://www.thesmartlocal.com/read/17-most-delicious-restaurants-under-20The 17 best inexpensive restaurants in Singapore. Cheap doesn't mean bad, it just means you're spending money more wisely!",1.0,0.0,0.0,0.0,0.0,0.0,1.48833092284e-311
1,144113158937441_1496763200339090,An agricultural festival celebrated by the Apatani tribe of Arunachal Pradesh ~ Dree Festival #ParadiseUnexplored #ITM2016,0.0,0.0,1.0,0.0,0.0,0.0,1.4883903805e-311
2,240054519398747_1334411066629748,"Filipino food continues to attract food lovers around the world! Hurray to sisig dubbed as the ""Filipino soul food!""Get to know Filipino soul food at NYC’s Maharlika: thrl.st/2iVysKV",3.0,0.0,0.0,0.0,0.0,0.0,1.48835642874e-311
3,114979501871035_427808423921473,"12 signs you had a Hong Kong Summer Spectacular You know you’ve had a Hong Kong summer if you:  

1.	Stared dinner in the eye, had it scooped out of its tank and served to you alfresco.
2.	Took on competitors with a dragon boat paddle, a yard of beer, a showreel or a shopping bag. 
3.	Noticed that somewhere over the rainbow, there was another rainbow. 
4.	Spent a weekend in Lan Kwai Fong studying the fascinating variety of beers and food the world has to offer. 
5.	Spent a morning in bed doubting the wisdom of studying so many of the fascinating variety of beers and food the world has to offer. 
6.	Became bewitched by the world’s most awesome city view.
7.	Wished an elderly panda and a robotic Japanese cat happy birthday, shivered with perky penguins and laughed at a mouthy mudskipper. 
8.	Reassessed your doubts and went back to Lan Kwai Fong to study the fascinating variety of beers and food the world has to offer.
9.	Rocked to the sounds of DJ beats, retro 80s, local indie, Cantonese opera and musicians playing in total darkness.
10.	Travelled back in time to the American West or 50s Hong Kong. 
11.	Became a gourmet, anime fan, kung fu protégé and knit-fitti enthusiast. 
12.	Prayed that the double rainbow would come back so you could wish on it that summer in Hong Kong would never end.",4.0,0.0,0.0,0.0,0.0,0.0,1.48836629715e-311
4,433618953473105_532843366883996,"Langkai Island, Makassar.

© Ardiyanta",0.0,0.0,0.0,0.0,0.0,1.0,1.48836629721e-311
5,225524117535380_1095904463830670,"2 Hawker Stalls And 27 Restaurants Awarded MICHELIN Stars In 2016 For Singapore's First Edition

Find out which were the only two hawker stalls in Singapore to be awarded Michelin Stars.

http://eatbook.sg/michelin-guide-2016/The 2016 Singapore MICHELIN guide has finally revealed its first selection. There are 22 restaurants with one star, 6 with two stars & 1 with three stars.",0.0,0.0,0.0,0.0,0.0,1.0,1.48836629724e-311
6,340785907491_10153130382797492,"Korea's Santorini! Located in the south of Korea, this is one of tourists' favorite destination in Busan - Gamcheon Culture Village. A panorama of endless rows of low-rise colorful cubicle homes climbing up the steep hillsides from the sea below, this is no doubt one of Busan's most picturesque destination ^_^ 

How to get there?
From Busan Station, take the subway to Toseong Station (Line 1) and Exit 6. Board either buses 1-1, 2 or 2-2 from the Pusan National University Hospital bus stop. Get off at Gamcheon Elementary School (감천초등학교) bus stop.

#감천문화마을 #Busan #Santorini #VisitKorea",0.0,1.0,0.0,0.0,0.0,0.0,1.48836629726e-311
7,67558139928_10152542006414929,"Kakaban Island: Strange Stingless Jellyfish in the Derawan Archipelago http://indonesia.travel/en/destination/816/kakaban-islandIndonesia is a fascinating country in every sense of the word. Rich in culture, natural beauty and biodiversity. Home to the weird, the wacky and the...",0.0,0.0,0.0,0.0,0.0,1.0,1.48836629729e-311
8,240054519398747_493629960707867,"Wanna relax a bit? Then take a trip down the Twin Lakes Natural Park through this gorgeous photo set by Eazy Traveler. Warning: you might be tempted to jump into your screen.

http://www.flickr.com/photos/eazy360/sets/72157619821078405/with/3637169643/Twin Lakes of Balinsasayao and Danao, a national park in Sibulan, Negros Oriental: the fourth and last leg of a Cebu-Negros road trip along Tañon Strait. • San Carlos City, Negros Occidental • Bais City, Negros Oriental • Dumaguete City, Negros Oriental • Twin Lakes National Park - Sibulan, Negros O...",0.0,0.0,0.0,0.0,3.0,0.0,1.48836629732e-311
9,67558139928_392969119928,Luxuriate the sun comes down and the splendor of BARELANG Bridge which is one of Batam's Prides.,0.0,0.0,0.0,0.0,0.0,1.0,1.48836629735e-311
10,67558139928_10152920032899929,Teluk Kabui adalah teluk di antara pulau Waigeo dan Pulau Gam di Raja Ampat yang mempunyai batu karang yang indah mirip dengan Wayag! http://indonesia.travel/id/destination/248/raja-ampat  #WonderfulIndonesia,0.0,0.0,0.0,0.0,0.0,1.0,1.48836629737e-311
11,340785907491_10150106702357492,"Did you have a good lunch? Don't forget that today is the LAST day for the ""Favorite Korean Word"" Twitter Contest! Send your favorite Korean word and definition to us (KoreanTravel) for a chance to win a FREE souvenir! Don't forget to start your tweet with ""@KoreanTravel"" and send your entry BEFORE 11:59 tonight (Korean time). Good luck!",0.0,0.0,0.0,0.0,0.0,1.0,1.4883662974e-311
12,67558139928_10152907187819929,Good morning from Karimun Jawa! #WonderfulIndonesia,0.0,0.0,0.0,0.0,0.0,1.0,1.48836629743e-311
13,114979501871035_1206754992693475,Catch the fabulous performance of Eddie the elf right here on the WinterFest edition of Hong Kong Pulse 3D Light Show! http://bit.ly/2gsYtjO,0.0,0.0,0.0,0.0,0.0,1.0,1.48836629746e-311
14,211783385560749_287132888025798,"Dai Himonjiyaki at Aso Fire Festival will be held this weekend on March 10th.
On the mountain slope, a gigantic Chinese character signifying 'fire' measuring 350 m appears.The festival makes people to feel the arrival of spring.
More details:http://www.jnto.go.jp/eng/attractions/event/traditionalevents/a15_fes_aso.html
photo courtesy:Kumamoto Prefecture",0.0,1.0,1.0,0.0,0.0,0.0,1.48836629748e-311
15,114979501871035_541216159247365,Cancel all your weekend plans. It’s the Lan Kwai Fong Beer and Music Fest this weekend. Cancel your Monday plans too. http://bit.ly/186jtCv,0.0,0.0,0.0,0.0,0.0,1.0,1.48836629751e-311
16,240054519398747_410612289009635,"It all falls down in Biliran! Biliran has some lovely waterfalls like the Tinago Waterfalls, Busai Falls, and Ulan-ulan falls. Has anyone here been there? 

Photo of Tinago Falls taken from historum.com",0.0,1.0,0.0,0.0,0.0,0.0,1.48836629754e-311
17,340785907491_145722955583277,"Hwacheon: Korea's Lake Country Gets Even Better in Winter
Read all about it from our travel highlights >>> http://bit.ly/WD69i4Hwacheon",0.0,0.0,0.0,0.0,0.0,1.0,1.48836629757e-311
18,240054519398747_847943615276498,"It’s Samar time! Check out Calbiga Cave, the largest cave system in the Philippines and the 2nd largest in Asia.  Read more about Calbiga Cave and other breathtaking attractions in Samar at http://itsmorefuninthephilippines.com/samar/.

Photo by Joni Bonifacio",0.0,1.0,0.0,0.0,0.0,0.0,1.4883662976e-311
19,433618953473105_593304670837865,"Mount Rinjani,  Lombok.",0.0,0.0,0.0,0.0,0.0,1.0,1.48836629762e-311
20,114979501871035_447515625284086,"It was a hotly contested election but the people have spoken and the winner of your favourite Hong Kong food election is dim sum. You can try all the candidates on the Hong Kong Foodie tour, one of the many events happening during the American Express Hong Kong Wine and Dine Month. http://bit.ly/Tv1YBp",2.0,0.0,0.0,0.0,0.0,0.0,1.48836629765e-311
21,67558139928_10154577385364929,"Today, the magical island of Bali is set to host the World Culture Forum (WCF) 2016 with this year’s theme being “Culture for an Inclusive Sustainable Planet”. Notable speakers from across the globe are scheduled to share their thoughts and discuss how technology will be used to express Indonesia’s local wisdom and rich cultures. This is the perfect moment to rejoice and experience cultures from across the globe. http://www.indonesia.travel/en/post/world-culture-forum-2016-bali-transforming-local-wisdom-into-global-values #WonderfulIndonesiaAfter the success of its inaugural edition in 2013, Indonesia will once again host the World Culture Forum (WCF) 2016 on 10th to 14th October 2016 to be centered at Nusa Dua Resort on the enchanting island of Bali. Being an essential part of continuous major efforts geared to encourage and promote c...",0.0,0.0,1.0,0.0,0.0,0.0,1.48836629768e-311
22,114979501871035_465631280139187,"Save your energy this weekend. You’ll need it for Monday when Hong Kong holds its biggest countdown party ever. Expect pyrotechnics. Lots of pyrotechnics. 
http://bit.ly/UwSoDx",0.0,0.0,0.0,0.0,0.0,1.0,1.48836629771e-311
23,340785907491_120496547995223,Get July's Event Calendar here!!,0.0,0.0,0.0,0.0,0.0,1.0,1.48836629773e-311
24,67558139928_153659511367120,"Jabang Tetuko, is the first multimedia live show in the world, that mix; movie + wayang orang + wayang kulit + orchestra. www.jabangtetuko.com",0.0,0.0,1.0,0.0,0.0,0.0,1.48836629776e-311
